operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us,operator_kind,source_category,source_library,execution_origin,kernel_time_percent,kernel_time_percent_of_category
aten::mm,nvjet_sm90_tst_128x8_64x12_2x1_v_bz_TNT,1,operator_shape_matched,"[[2,5120],[5120,8704]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1024,26006.165,aten,torch_aten,pytorch,eager,20.343677,26.232775
aten::mm,nvjet_sm90_tst_256x8_64x6_4x1_v_bz_splitK_TNT,1,operator_shape_matched,"[[2,4352],[4352,5120]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1024,13734.521,aten,torch_aten,pytorch,eager,10.744016,13.8542
aten::mm,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_TNT,1,operator_shape_matched,"[[2,5120],[5120,4096]]","[""c10::BFloat16"",""c10::BFloat16""]",null,768,10002.12,aten,torch_aten,pytorch,eager,7.824295,10.089276
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel,1,native_marker_operator_shape_matched,"[[],[2,5120],[2,5120]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""torch.bfloat16""]",null,2048,5959.363,custom,vendor,cuda,eager,4.661793,28.302056
gemma_rms_norm,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel,2,native_marker_operator_shape_matched,"[[],[32,5120],[32,5120]]","[""Object[sglang.srt.layers.layernorm.GemmaRMSNorm]"",""torch.bfloat16"",""torch.bfloat16""]",null,512,1581.909,custom,vendor,cuda,eager,1.23747,7.512762
aten::mm,nvjet_sm90_tst_128x32_64x10_2x1_v_bz_TNT,1,operator_shape_matched,"[[32,5120],[5120,8704]]","[""c10::BFloat16"",""c10::BFloat16""]",null,256,7185.765,aten,torch_aten,pytorch,eager,5.621163,7.24838
aten::copy_,at::native::elementwise_kernel,1,operator_shape_matched,"[[2,12],[2,12],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,1536,1644.372,aten,torch_aten,pytorch,eager,1.286332,1.658701
aten::copy_,at::native::elementwise_kernel,2,operator_shape_matched,"[[2,12,128],[2,12,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,768,1575.49,aten,torch_aten,pytorch,eager,1.232449,1.589218
aten::copy_,at::native::elementwise_kernel,3,operator_shape_matched,"[[2,6,256],[2,6,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,512,1101.433,aten,torch_aten,pytorch,eager,0.861611,1.111031
aten::copy_,at::native::elementwise_kernel,4,operator_shape_matched,"[[1,32,4,128],[1,32,4,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,384,784.092,custom,vendor,cuda,eager,0.613367,3.72379
aten::copy_,at::native::elementwise_kernel,5,operator_shape_matched,"[[32,12],[32,12],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,384,566.175,aten,torch_aten,pytorch,eager,0.442898,0.571108
aten::copy_,at::native::elementwise_kernel,6,operator_shape_matched,"[[32,12,128],[32,12,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,192,418.079,aten,torch_aten,pytorch,eager,0.327048,0.421722
aten::copy_,at::native::elementwise_kernel,7,operator_shape_matched,"[[1,32,12,128],[1,32,12,128],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,192,410.455,custom,vendor,cuda,eager,0.321084,1.949323
aten::copy_,at::native::elementwise_kernel,8,operator_shape_matched,"[[32,6,256],[32,6,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,128,287.584,aten,torch_aten,pytorch,eager,0.224967,0.29009
aten::copy_,at::native::elementwise_kernel,9,operator_shape_matched,"[[32,1,256],[32,1,256],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,64,125.12,aten,torch_aten,pytorch,eager,0.097877,0.12621
aten::copy_,at::native::elementwise_kernel,10,operator_shape_matched,"[[2,4,62080],[2,4,62080],[]]","[""c10::BFloat16"",""c10::BFloat16"",""Scalar""]",null,20,73.346,aten,torch_aten,pytorch,eager,0.057376,0.073985
aten::masked_fill_,at::native::elementwise_kernel,11,operator_shape_matched,"[[2,5120],[2,1],[]]","[""c10::BFloat16"",""bool"",""Scalar""]",null,16,35.426,aten,torch_aten,pytorch,eager,0.027712,0.035735
aten::add,at::native::elementwise_kernel,12,operator_shape_matched,"[[2,1],[1],[]]","[""long int"",""long int"",""Scalar""]",null,16,19.967,aten,torch_aten,pytorch,eager,0.015619,0.020141
aten::masked_fill_,at::native::elementwise_kernel,13,operator_shape_matched,"[[32,5120],[32,1],[]]","[""c10::BFloat16"",""bool"",""Scalar""]",null,4,9.985,aten,torch_aten,pytorch,eager,0.007811,0.010072
aten::add,at::native::elementwise_kernel,14,operator_shape_matched,"[[32,1],[1],[]]","[""long int"",""long int"",""Scalar""]",null,4,4.832,aten,torch_aten,pytorch,eager,0.00378,0.004874
aten::mm,nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT,1,operator_shape_matched,"[[2,1536],[1536,5120]]","[""c10::BFloat16"",""c10::BFloat16""]",null,1024,6934.276,aten,torch_aten,pytorch,eager,5.424432,6.994699
aten::mm,nvjet_sm90_tst_256x32_64x5_4x1_v_bz_splitK_TNT,1,operator_shape_matched,"[[32,4352],[4352,5120]]","[""c10::BFloat16"",""c10::BFloat16""]",null,256,4641.5,aten,torch_aten,pytorch,eager,3.630877,4.681945
