operator_id,operator_name,operator_kind,kernel_name,source_category,source_library
1,sglang.jit_kernel.clamp_position.clamp_position,custom,<anonymous>::clamp_position_kernel,third_party,sglang
2,sglang.jit_kernel.resolve_future_token_ids.resolve_future_token_ids,custom,<anonymous>::resolve_future_token_ids_kernel,third_party,sglang
3,sglang::store_cache,custom,<anonymous>::store_kvcache,third_party,sgl_kernel
4,sglang.srt.layers.attention.mamba.causal_conv1d_triton._causal_conv1d_fwd_kernel,custom,_causal_conv1d_fwd_kernel,third_party,sglang
5,sglang.srt.layers.attention.mamba.causal_conv1d_triton._causal_conv1d_update_kernel,custom,_causal_conv1d_update_kernel,third_party,sglang
6,sglang.srt.layers.attention.triton_ops.decode_attention._fwd_grouped_kernel_stage1,custom,_fwd_grouped_kernel_stage1,third_party,sglang
7,sglang.srt.layers.attention.triton_ops.extend_attention._fwd_kernel,custom,_fwd_kernel,third_party,sglang
8,sglang.srt.layers.attention.triton_ops.decode_attention._fwd_kernel_stage2,custom,_fwd_kernel_stage2,third_party,sglang
9,LayerNormFn,custom,_layer_norm_fwd_1pass_kernel,third_party,upstream_unknown
10,sglang.srt.layers.rotary_embedding.triton_kernels._triton_mrope_forward_fused,custom,_triton_mrope_forward_fused,vendor,cuda
11,aten::cat,custom,at::native::<anonymous>::CatArrayBatchedCopy_alignedK_contig,vendor,cuda
12,aten::copy_,custom,at::native::elementwise_kernel,vendor,cuda
13,aten::copy_,custom,at::native::unrolled_elementwise_kernel,vendor,cuda
13,aten::sub,custom,at::native::unrolled_elementwise_kernel,vendor,cuda
14,aten::add,custom,at::native::vectorized_elementwise_kernel,vendor,cuda
14,aten::fill_,custom,at::native::vectorized_elementwise_kernel,vendor,cuda
14,aten::floor_divide,custom,at::native::vectorized_elementwise_kernel,vendor,cuda
14,aten::sub,custom,at::native::vectorized_elementwise_kernel,vendor,cuda
15,aten::cumsum,custom,at_cuda_detail::cub::detail::scan::DeviceScanInitKernel,vendor,cuda
16,aten::cumsum,custom,at_cuda_detail::cub::detail::scan::DeviceScanKernel,vendor,cuda
17,ChunkGatedDeltaRuleFunction,custom,chunk_fwd_kernel_o,vendor,cuda
18,ChunkGatedDeltaRuleFunction,custom,chunk_gated_delta_rule_fwd_kernel_h_blockdim64,vendor,cuda
19,ChunkGatedDeltaRuleFunction,custom,chunk_gated_delta_rule_fwd_kkt_solve_kernel,vendor,cuda
20,ChunkGatedDeltaRuleFunction,custom,chunk_local_cumsum_scalar_kernel,vendor,cuda
